"soc_term","eutctId","meddra"
"Blood and lymphatic system disorders",100000004851,10005329
"Cardiac disorders",100000004849,10007541
"Congenital, familial and genetic disorders",100000004850,10010331
"Ear and labyrinth disorders",100000004854,10013993
"Endocrine disorders",100000004860,10014698
"Eye disorders",100000004853,10015919
"Gastrointestinal disorders",100000004856,10017947
"General disorders and administration site conditions",100000004867,10018065
"Hepatobiliary disorders",100000004871,10019805
"Immune system disorders",100000004870,10021428
"Infections and infestations",100000004862,10021881
"Injury, poisoning and procedural complications",100000004863,10022117
"Investigations",100000004848,10022891
"Metabolism and nutrition disorders",100000004861,10027433
"Musculoskeletal and connective tissue disorders",100000004859,10028395
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",100000004864,10029104
"Nervous system disorders",100000004852,10029205
"Pregnancy, puerperium and perinatal conditions",100000004868,10036585
"Product issues",100000167503,10077536
"Psychiatric disorders",100000004873,10037175
"Renal and urinary disorders",100000004857,10038359
"Reproductive system and breast disorders",100000004872,10038604
"Respiratory, thoracic and mediastinal disorders",100000004855,10038738
"Skin and subcutaneous tissue disorders",100000004858,10040785
"Social circumstances",100000004869,10041244
"Surgical and medical procedures",100000004865,10042613
"Vascular disorders",100000004866,10047065
